player_name,year_4,year_0,year_1,year_2,contract_length,total_contract_value,average_annual_value,current_year_salary,years_remaining
Payton Pritchard,23303571.0,8303571.0,,,2,31607142.0,15803571.0,8303571.0,1
Donovan Clingan,14698320.0,9550298.0,,,2,24248618.0,12124309.0,9550298.0,1
Kenrich Williams,7163000.0,,,,1,7163000.0,7163000.0,,0
Jeremy Sochan,7096231.0,,,,1,7096231.0,7096231.0,,0
Tyus Jones,7000000.0,,,,1,7000000.0,7000000.0,,0
Egor Demin,14122920.0,7578240.0,9639522.0,,3,31340682.0,10446894.0,7578240.0,2
Jevon Carter,6809524.0,,,,1,6809524.0,6809524.0,,0
Clint Capela,21105000.0,7370000.0,,,2,28475000.0,14237500.0,7370000.0,1
Ousmane Dieng,6670882.0,,,,1,6670882.0,6670882.0,,0
Jarace Walker,15144062.0,,,,1,15144062.0,15144062.0,,0
Jalen Williams,192500997.0,44820000.0,48140000.0,51460000.0,4,336920997.0,84230249.25,44820000.0,3
Rob Dillingham,13465440.0,8763216.0,,,2,22228656.0,11114328.0,8763216.0,1
Jalen Duren,6483144.0,,,,1,6483144.0,6483144.0,,0
Ochai Agbaji,6383525.0,,,,1,6383525.0,6383525.0,,0
Collin Murray-Boyles,12982080.0,6966000.0,8874684.0,,3,28822764.0,9607588.0,6966000.0,2
Mark Williams,6276531.0,,,,1,6276531.0,6276531.0,,0
Day'Ron Sharpe,6250000.0,,,,1,6250000.0,6250000.0,,0
Ziaire Williams,6250000.0,,,,1,6250000.0,6250000.0,,0
John Konchar,12330000.0,,,,1,12330000.0,12330000.0,,0
Taylor Hendricks,13932980.0,,,,1,13932980.0,13932980.0,,0
Saddiq Bey,12559322.0,,,,1,12559322.0,12559322.0,,0
Zach Edey,12377760.0,8067937.0,,,2,20445697.0,10222848.5,8067937.0,1
Khaman Maluach,12332760.0,6617160.0,8436880.0,,3,27386800.0,9128933.333333334,6617160.0,2
Jake LaRavia,12000000.0,,,,1,12000000.0,12000000.0,,0
Jaden Hardy,12000000.0,6000000.0,,,2,18000000.0,9000000.0,6000000.0,1
Cam Thomas,5993172.0,,,,1,5993172.0,5993172.0,,0
Cason Wallace,13241046.0,,,,1,13241046.0,13241046.0,,0
Cody Williams,11758080.0,7669890.0,,,2,19427970.0,9713985.0,7669890.0,1
Cedric Coward,11716200.0,6286920.0,8342743.0,,3,26345863.0,8781954.333333334,6286920.0,2
Al Horford,5685000.0,,,,1,5685000.0,5685000.0,,0
D'Angelo Russell,5685000.0,,,,1,5685000.0,5685000.0,,0
Tari Eason,5675766.0,,,,1,5675766.0,5675766.0,,0
Haywood Highsmith,5616000.0,,,,1,5616000.0,5616000.0,,0
Nicolas Batum,5601600.0,,,,1,5601600.0,5601600.0,,0
Jett Howard,5529720.0,,,,1,5529720.0,5529720.0,,0
Guerschon Yabusele,5500000.0,,,,1,5500000.0,5500000.0,,0
Matas Buzelis,11170920.0,7584283.0,,,2,18755203.0,9377601.5,7584283.0,1
Noa Essengue,11130720.0,5972760.0,8230464.0,,3,25333944.0,8444648.0,5972760.0,2
Dario Šarić,5426400.0,,,,1,5426400.0,5426400.0,,0
Kris Dunn,5426400.0,,,,1,5426400.0,5426400.0,,0
Dalen Terry,5399118.0,,,,1,5399118.0,5399118.0,,0
Paul Reed,5335894.0,,,,1,5335894.0,5335894.0,,0
Dereck Lively II,12492491.0,,,,1,12492491.0,12492491.0,,0
Nikola Topić,10612680.0,7482210.0,,,2,18094890.0,9047445.0,7482210.0,1
Derik Queen,10574040.0,5673840.0,8107918.0,,3,24355798.0,8118599.333333333,5673840.0,2
Kevin Porter Jr.,5134000.0,,,,1,5134000.0,5134000.0,,0
Andre Drummond,5000000.0,,,,1,5000000.0,5000000.0,,0
Moritz Wagner,5000000.0,,,,1,5000000.0,5000000.0,,0
Gradey Dick,12122071.0,,,,1,12122071.0,12122071.0,,0
Malaki Branham,4962033.0,,,,1,4962033.0,4962033.0,,0
Devin Carter,10081800.0,7370897.0,,,2,17452697.0,8726348.5,7370897.0,1
Christian Braun,4921797.0,,,,1,4921797.0,4921797.0,,0
Carter Bryant,10045680.0,5390640.0,7983539.0,,3,23419859.0,7806619.666666667,5390640.0,2
Walker Kessler,4878938.0,,,,1,4878938.0,4878938.0,,0
Jordan Hawkins,11763215.0,,,,1,11763215.0,11763215.0,,0
Blake Wesley,4726328.0,,,,1,4726328.0,4726328.0,,0
