nba_id,Player,Seasons,Team,Pos,MPG,LEBRON,O-LEBRON,D-LEBRON,WAR,OffRole,DefRole
1628398,Kyle Kuzma,2026,MIL,PF,26.168,-2.025,-0.768,-1.256,0.5,Movement Shooter,Wing Stopper
1628401,Derrick White,2026,BOS,SG,34.088,4.594,2.271,2.324,11.43,Primary Ball Handler,Chaser
1628404,Josh Hart,2026,NYK,SF,30.203,1.317,0.271,1.046,4.718,Stationary Shooter,Wing Stopper
1628415,Dillon Brooks,2026,PHO,SF,30.381,-0.116,-0.035,-0.082,2.499,Shot Creator,Wing Stopper
1628418,Thomas Bryant,2026,CLE,C,12.194,0.349,0.236,0.113,1.288,Stretch Big,Mobile Big
1628420,Monte Morris,2026,IND,PG,10.769,-0.754,-0.436,-0.318,0.069,Low Minute,Point of Attack
1628436,Luke Kornet,2026,SAS,C,21.027,0.875,-0.218,1.094,2.989,Roll + Cut Big,Anchor Big
1628449,Chris Boucher,2026,BOS,PF,10.459,-0.757,-0.768,0.011,0.1,Low Minute,Helper
1628467,Maxi Kleber,2026,LAL,PF,10.721,-2.503,-2.747,0.244,-0.008,Athletic Finisher,Mobile Big
1628502,Nigel Hayes-Davis,2026,PHO,SF,7.228,-2.83,-2.34,-0.49,-0.043,Movement Shooter,Helper
1628960,Grayson Allen,2026,PHO,SG,28.767,0.496,1.864,-1.368,2.718,Primary Ball Handler,Chaser
1628963,Marvin Bagley Iii,2026,WAS/DAL,PF,20.013,-0.231,0.27,-0.501,1.677,Roll + Cut Big,Mobile Big
1628964,Mo Bamba,2026,TOR/UTA,C,10.95,-0.714,-0.447,-0.267,0.048,Low Minute,Helper
1628969,Mikal Bridges,2026,NYK,SF,32.824,2.232,1.336,0.896,7.898,Movement Shooter,Point of Attack
1628970,Miles Bridges,2026,CHO,PF,31,0.843,0.948,-0.104,4.943,Shot Creator,Wing Stopper
1628971,Bruce Brown,2026,DEN,SG,24.361,-2.217,-1.82,-0.397,0.315,Stationary Shooter,Point of Attack
1628973,Jalen Brunson,2026,NYK,PG,34.993,2.077,3.528,-1.45,7.351,Shot Creator,Low Activity
1628975,Jevon Carter,2026,CHI/ORL,PG,16.366,-1.081,-0.442,-0.639,0.749,Movement Shooter,Chaser
1628976,Wendell Carter Jr.,2026,ORL,C,29.336,0.313,-1.013,1.326,3.977,Stretch Big,Mobile Big
1628978,Donte Divincenzo,2026,MIN,SG,30.413,0.556,0.196,0.359,4.714,Movement Shooter,Chaser
1628983,Shai Gilgeous-Alexander,2026,OKC,PG,33.218,6.661,5.763,0.898,12.453,Shot Creator,Low Activity
1628988,Aaron Holiday,2026,HOU,PG,13.695,-1.967,-1.185,-0.782,0.244,Secondary Ball Handler,Point of Attack
1628989,Kevin Huerter,2026,CHI/DET,SF,22.447,-0.019,0.286,-0.305,2.369,Movement Shooter,Chaser
1628991,Jaren Jackson Jr.,2026,MEM/UTA,C,30.302,0.197,-1.077,1.274,2.422,Shot Creator,Helper
1628997,Caleb Martin,2026,DAL,SF,14.758,-1.446,-2.301,0.855,0.544,Stationary Shooter,Wing Stopper
1628998,Cody Martin,2026,IND,SF,13.792,-0.869,-0.745,-0.123,0.055,Low Minute,Chaser
1629001,De'Anthony Melton,2026,GSW,PG,22.961,0.576,-0.189,0.764,2.141,Primary Ball Handler,Point of Attack
1629004,Svi Mykhailiuk,2026,UTA,SF,23.11,-1.752,-0.392,-1.36,0.515,Movement Shooter,Wing Stopper
1629006,Josh Okogie,2026,HOU,SG,17.352,-0.354,-1.011,0.657,1.786,Stationary Shooter,Wing Stopper
1629008,Michael Porter Jr.,2026,BRK,SF,32.47,0.665,2.319,-1.653,3.308,Off Screen Shooter,Helper
1629011,Mitchell Robinson,2026,NYK,C,19.571,2.234,0.646,1.588,3.447,Athletic Finisher,Mobile Big
1629012,Collin Sexton,2026,CHO/CHI,SG,23.721,-0.867,0.9,-1.767,1.61,Primary Ball Handler,Point of Attack
1629013,Landry Shamet,2026,NYK,SG,22.958,0.692,0.794,-0.102,2.314,Movement Shooter,Chaser
1629014,Anfernee Simons,2026,BOS/CHI,SG,24.941,0.027,0.892,-0.865,2.138,Shot Creator,Chaser
1629018,Gary Trent Jr.,2026,MIL,SG,21.188,-3.626,-1.636,-1.99,-0.963,Movement Shooter,Chaser
1629020,Jarred Vanderbilt,2026,LAL,PF,17.348,-0.941,-1.535,0.593,1.073,Stationary Shooter,Helper
1629021,Moritz Wagner,2026,ORL,C,11.848,-0.321,0.531,-0.852,0.572,Versatile Big,Mobile Big
1629023,P.J. Washington,2026,DAL,PF,30.992,-0.465,-0.98,0.515,2.169,Stationary Shooter,Wing Stopper
1629026,Kenrich Williams,2026,OKC,PF,15.268,-0.801,-0.728,-0.073,0.889,Stationary Shooter,Helper
1629027,Trae Young,2026,ATL/WAS,PG,25.582,0.928,2.227,-1.3,0.815,Primary Ball Handler,Chaser
